ten little indians	十個印第安人
tricycle	三輪車
little donkey	小毛驢
twinkle twinkle little star	小星星
little tea kettle	小茶壺
fast train	火車快飛
old macdonald had a farm	王老先生有塊地
mother is the best in the world	世上只有媽媽好
as long as I grow up	只要我長大
happy birthday	生日快樂
words from westwind	西風的話
frere jacques	兩隻老虎
tomorrow will be better	明天會更好
clay doll	泥娃娃
tiger aunt	虎姑婆
great wall song	長城謠
youth dance song	青春舞曲
autumn cicada	秋蟬
jasmine	茉莉花
London bridge is falling down	倫敦鐵橋垮下來
fishing song	捕魚歌
catch loach	捉泥鰍
high green mountains	高山青
home sweet home	甜蜜的家庭
fish swimming in the water	魚兒魚兒水中游
Oh, Susanna	喔，蘇珊娜
childhood	童年
duckweed encounter	萍聚
when we're together	當我們同在一起
song of a wanderer	遊子吟
this old man	綠油精
splashing water song	潑水歌
butterfly	蝴蝶
snail and oriole bird	蝸牛與黃鸝鳥
lulala	魯啦啦
descendants of the dragon	龍的傳人
lazy worm	懶惰蟲
happy days	歡樂年華
